__description,polarity,bullet,input,__expected1,__expected2
tsupp-08,preserve,PC-trailing-supplements,"The query returned 1,000 log lines (1,000 returned, query cap reached).",icontains:query cap,
tsupp-09,preserve,PC-trailing-supplements,"Run the bootstrap on every tier except prod, where the roles already exist.",icontains:prod,
tsupp-10,preserve,PC-trailing-supplements,"The p95 fell to 400 ms, measured over the seven days after the index landed.",icontains:seven days,
tanaph-01,rewrite,PC-trailing-anaphora,The ticket had been open eleven days at that point.,not-contains:at that point,icontains:eleven
tanaph-02,rewrite,PC-trailing-anaphora,Three services were still degraded by then.,not-contains:by then,icontains:Three
tanaph-03,rewrite,PC-trailing-anaphora,The pipeline was red at the time.,not-contains:at the time,icontains:pipeline
tanaph-04,rewrite,PC-trailing-anaphora,Only two of the nine tables had cut over as of that date.,not-contains:as of that date,icontains:nine
tanaph-05,rewrite,PC-trailing-anaphora,The cache hit rate sat at 4 percent in that case.,not-contains:in that case,icontains:4 percent
tanaph-06,rewrite,PC-trailing-anaphora,Nobody owned the alert at this stage.,not-contains:at this stage,icontains:alert
tanaph-07,rewrite,PC-trailing-anaphora,The freeze was already in effect by that time.,not-contains:by that time,icontains:freeze
tanaph-08,preserve,PC-trailing-anaphora,The job failed on Tuesday.,icontains:Tuesday,
tanaph-09,preserve,PC-trailing-anaphora,The ticket had been open eleven days on 8/14.,icontains:8/14,
tanaph-10,preserve,PC-trailing-anaphora,Three services were degraded during the 03:10 window.,icontains:03:10,
apost-01,rewrite,PC-anaphoric-postmodifiers,Nobody questioned the four hours a week behind it.,not-contains:behind it,icontains:four hours
apost-02,rewrite,PC-anaphoric-postmodifiers,The number underneath that has never been audited.,not-contains:underneath that,
apost-03,rewrite,PC-anaphoric-postmodifiers,The assumption driving it was never written down.,not-contains:driving it,
apost-04,rewrite,PC-anaphoric-postmodifiers,The team inherited the 40 GB of logs behind this.,not-contains:behind this,icontains:40 GB
apost-05,rewrite,PC-anaphoric-postmodifiers,"We priced the six engineer-weeks implied by that at 90,000 dollars.",not-contains:implied by that,"icontains:90,000"
apost-06,rewrite,PC-anaphoric-postmodifiers,The dependency underlying it ships from a single maintainer.,not-contains:underlying it,icontains:maintainer
apost-07,rewrite,PC-anaphoric-postmodifiers,The 12 percent gap explained by this is still open.,not-contains:explained by this,icontains:12 percent
apost-08,preserve,PC-anaphoric-postmodifiers,Nobody questioned the four hours a week the review consumes.,icontains:four hours,
apost-09,preserve,PC-anaphoric-postmodifiers,The dependency underlying the parser ships from a single maintainer.,icontains:parser,
apost-10,preserve,PC-anaphoric-postmodifiers,The 12 percent gap between the two counts comes from sparse-file accounting.,icontains:sparse-file,
unanch-01,rewrite,PC-unanchored-definite,The learning waits for the end.,not-contains:The learning,
unanch-02,rewrite,PC-unanchored-definite,After the cutover the alert stopped firing.,not-contains:After the cutover,icontains:alert
unanch-03,rewrite,PC-unanchored-definite,Once the review lands we can close the epic. Security owns the review and has had the design doc since Monday.,icontains:Security,icontains:Monday
unanch-04,rewrite,PC-unanchored-definite,The tradeoff has not been written down anywhere. It is a shorter cache TTL against more Datahub reads.,icontains:Datahub,icontains:TTL
unanch-05,rewrite,PC-unanchored-definite,Neither changes what the service does at runtime.,not-contains:Neither changes,icontains:runtime
unanch-06,rewrite,PC-unanchored-definite,Both stalled in review for most of August. The two tickets were IS-1039 and IS-1042.,icontains:IS-1039,icontains:August
unanch-07,rewrite,PC-unanchored-definite,This is why the number moved. The base image was repinned on the ninth and the CVE count fell to 118.,icontains:118,icontains:base image
unanch-08,preserve,PC-unanchored-definite,The end of the batch is where the reconciliation runs.,icontains:reconciliation,
unanch-09,preserve,PC-unanchored-definite,After the cutover to Postgres the alert stopped firing.,icontains:Postgres,
unanch-10,preserve,PC-unanchored-definite,The tradeoff between a shorter TTL and Datahub load is recorded on IS-1039.,icontains:IS-1039,
evid-01,rewrite,PC-evidential-status,The cost is measured. Four of the thirty-three teams pay it.,not-contains:is measured,icontains:thirty-three
evid-02,rewrite,PC-evidential-status,The gap is documented. It has been open since March.,not-contains:is documented,icontains:March
evid-03,rewrite,PC-evidential-status,The pattern holds. Six of the eight runs failed the same assertion.,not-contains:The pattern holds,icontains:Six
evid-04,rewrite,PC-evidential-status,The numbers are stark. Throughput fell 40 percent after the upgrade.,not-contains:are stark,icontains:40 percent
evid-05,rewrite,PC-evidential-status,The tradeoff is real. A shorter TTL triples Datahub reads.,not-contains:is real,icontains:triples
evid-06,rewrite,PC-evidential-status,Five obligations follow from the contract change.,not-contains:Five obligations follow,
evid-07,rewrite,PC-evidential-status,Three options exist below.,not-contains:Three options exist,
evid-08,preserve,PC-evidential-status,"Two things stay unverified. The reserve constant is bracketed rather than read, and the default percentage is inferred from the cluster.",icontains:reserve constant,
evid-09,preserve,PC-evidential-status,This is strong evidence that the model captures the main structure.,icontains:strong evidence,
evid-10,preserve,PC-evidential-status,"The count is 14 within the sample of 69 pages, and nothing outside that sample was read.",icontains:69 pages,
selfcert-01,rewrite,PC-self-certifying,"This was a genuine, deliberate scope increase.",not-contains:genuine,
selfcert-02,rewrite,PC-self-certifying,The honest answer is that we never ran the restore.,not-contains:honest answer,icontains:restore
selfcert-03,rewrite,PC-self-certifying,These numbers are empirically validated and not theoretical.,not-contains:empirically validated,
selfcert-04,rewrite,PC-self-certifying,We are flagging this here rather than glossing over it.,not-contains:glossing over,
selfcert-05,rewrite,PC-self-certifying,"This is a concrete, real decision about the routing target.",not-contains:concrete,icontains:routing
selfcert-06,rewrite,PC-self-certifying,The recommendation rests on a rigorous and defensible reading of the logs.,not-contains:rigorous,icontains:logs
selfcert-07,rewrite,PC-self-certifying,We made a deliberate and considered choice to skip the migration test.,not-contains:deliberate and considered,icontains:migration test
selfcert-08,preserve,PC-self-certifying,We skipped the migration test because the fixture database takes four hours to build.,icontains:four hours,
selfcert-09,preserve,PC-self-certifying,We never ran the restore. Backups exist and none has been restored.,icontains:Backups exist,
selfcert-10,preserve,PC-self-certifying,The scope grew by two tickets on 8/19 when Platform asked for the gateway change.,icontains:8/19,
intent-01,rewrite,PC-pre-emptive-intent,The column is empty by design.,not-contains:by design,icontains:column
intent-02,rewrite,PC-pre-emptive-intent,"That is a decision, not an omission.",not-contains:not an omission,
intent-03,rewrite,PC-pre-emptive-intent,"Leaving the value unchanged is correct, not a skipped step.",not-contains:not a skipped step,
intent-04,rewrite,PC-pre-emptive-intent,We deliberately did not ticket the cost item.,not-contains:deliberately,icontains:cost item
intent-05,rewrite,PC-pre-emptive-intent,"One sample per gate, on purpose.",not-contains:on purpose,icontains:sample
intent-06,rewrite,PC-pre-emptive-intent,"That distribution is accurate, not a gap in the data.",not-contains:not a gap,
intent-07,rewrite,PC-pre-emptive-intent,The absence of a DR section here is intentional.,not-contains:intentional,icontains:DR
intent-08,preserve,PC-pre-emptive-intent,The column is empty because the source system stopped emitting it in June and nobody has backfilled.,icontains:June,
intent-09,preserve,PC-pre-emptive-intent,"We left the threshold at 400,000 on purpose, recorded on IS-1039, because it doubles as a manual gauge.",icontains:IS-1039,
intent-10,preserve,PC-pre-emptive-intent,"One sample per gate, because the cache that makes the arms comparable serves the identical string to every run.",icontains:identical string,
spec-01,rewrite,PC-speculative-gap-filling,The outage is believed to have started around 02:00.,not-contains:believed to have,icontains:02:00
spec-02,rewrite,PC-speculative-gap-filling,The drift likely began after the June release.,not-contains:likely began,icontains:June
spec-03,rewrite,PC-speculative-gap-filling,The maintainer appears to have abandoned the package.,not-contains:appears to have,icontains:package
spec-04,rewrite,PC-speculative-gap-filling,The team presumably reviewed the change before merging.,not-contains:presumably,icontains:merg
spec-05,rewrite,PC-speculative-gap-filling,The two counts differ because the exporter deduplicates and the importer does not.,icontains:counts differ,
spec-06,rewrite,PC-speculative-gap-filling,The files pass the 25 MiB gate through a path the upload check does not cover.,icontains:25 MiB,
spec-07,rewrite,PC-speculative-gap-filling,The service maintains a relatively low error rate in production.,not-contains:relatively low,icontains:error rate
spec-08,preserve,PC-speculative-gap-filling,The source does not say how a 30 MiB file passed the 25 MiB gate.,icontains:25 MiB,
spec-09,preserve,PC-speculative-gap-filling,The record has no entry for a scan. That is not proof the scan never ran.,icontains:not proof,not-contains:may
spec-10,preserve,PC-speculative-gap-filling,"The outage started at 02:04 according to the first alert, and the logs before 02:00 have aged out.",icontains:02:04,
hedge-01,rewrite,PC-hedging-adjuncts,"The migration succeeded, at least in part.",not-contains:at least in part,icontains:migration
hedge-02,rewrite,PC-hedging-adjuncts,"The design is sound, on its own terms.",not-contains:on its own terms,
hedge-03,rewrite,PC-hedging-adjuncts,In a sense the rollback worked.,not-contains:In a sense,icontains:rollback
hedge-04,rewrite,PC-hedging-adjuncts,"The alert fired, more or less on schedule.",not-contains:more or less,icontains:alert
hedge-05,rewrite,PC-hedging-adjuncts,"If anything, the p95 improved after the change.",not-contains:If anything,icontains:p95
hedge-06,rewrite,PC-hedging-adjuncts,To some extent the gate is already satisfied.,not-contains:To some extent,icontains:gate
hedge-07,rewrite,PC-hedging-adjuncts,Arguably the network boundary is doing the work here.,not-contains:Arguably,icontains:network boundary
hedge-08,preserve,PC-hedging-adjuncts,Four of the nine tables cut over. The other five were not attempted.,icontains:five,
hedge-09,preserve,PC-hedging-adjuncts,The p95 improved from 900 ms to 400 ms within the sample of seven days.,icontains:seven days,
hedge-10,preserve,PC-hedging-adjuncts,"The reserve is bracketed between 29,311 and 33,234, so 30,000 remains a candidate alongside 32,000.","icontains:30,000",
