__description,polarity,bullet,input,__expected1,__expected2
llmvocab-08,rewrite,PC-llm-vocabulary,The architecture is a rich tapestry of robust services.,not-contains:tapestry,not-contains:robust
llmvocab-09,preserve,PC-llm-vocabulary,"Keycloak groups its clients into realms, and each realm carries its own token lifetime.",icontains:realms,
llmvocab-10,preserve,PC-llm-vocabulary,Entra dynamic groups evaluate membership rules on every directory write.,icontains:dynamic groups,
crossfmt-03,rewrite,PC-cross-format-duplication,"The table above lists the three profiles and their helpers. The jim profile uses a GitHub token helper, the work profile uses an Azure DevOps helper, and the hearst profile uses a GitHub token helper.",icontains:profile,
crossfmt-04,rewrite,PC-cross-format-duplication,"The chart shows monthly spend. January was 4,100 dollars, February was 3,800, March was 4,400, and April was 5,100.",icontains:chart,
crossfmt-05,rewrite,PC-cross-format-duplication,"Per the list above, the four steps are fetch, build, scan, and publish. Fetch comes first, then build, then scan, then publish.",icontains:publish,
crossfmt-06,rewrite,PC-cross-format-duplication,"See the config block below. It sets force to true, create to true, and relink to true.",icontains:config block,
crossfmt-07,rewrite,PC-cross-format-duplication,"The matrix records nine rows. Six are green, two are red, and one is grey.",icontains:matrix,
crossfmt-08,rewrite,PC-cross-format-duplication,"As the code sample shows, the function takes a prompt as its first argument and returns the reply on stdout.",icontains:stdout,
crossfmt-09,preserve,PC-cross-format-duplication,The table above records which account called which model. Two of the five entries predate the Bedrock migration.,icontains:Bedrock,
crossfmt-10,preserve,PC-cross-format-duplication,"Of the nine rows in the matrix, only the grey one is unmeasured, and that is the subscription we cannot read.",icontains:grey,
labelsubj-03,rewrite,PC-labels-as-subject,The biggest risk is confusing the fixture accounts with production accounts.,not-contains:biggest risk,icontains:fixture
labelsubj-04,rewrite,PC-labels-as-subject,The main takeaway is that nobody owns the audit-log gap.,not-contains:main takeaway,icontains:audit-log
labelsubj-05,rewrite,PC-labels-as-subject,The key concern is that the WAF blocks nothing.,not-contains:key concern,icontains:WAF
labelsubj-06,rewrite,PC-labels-as-subject,The upshot is that the sweep cannot route a payload whose session ended.,not-contains:upshot,icontains:sweep
labelsubj-07,rewrite,PC-labels-as-subject,The implication is that a rebuild voids both TCC grants.,not-contains:implication,icontains:TCC
labelsubj-08,rewrite,PC-labels-as-subject,The core problem is that four templates state four different cadences.,not-contains:core problem,icontains:four
labelsubj-09,preserve,PC-labels-as-subject,"The risk is 4 of the 33 teams, which is who would be blocked by a freeze.",icontains:4 of the 33,
labelsubj-10,preserve,PC-labels-as-subject,The consequence is measured at 31 blocked merges since June.,icontains:31 blocked,
cannot-03,rewrite,PC-cannot,The uploader cannot reach the bucket when the token expires.,not-contains:cannot,icontains:token
cannot-04,rewrite,PC-cannot,The sweep cannot find a routing target for an expired session.,not-contains:cannot,icontains:session
cannot-05,rewrite,PC-cannot,A developer cannot run the dependency scan locally because the credential is missing.,not-contains:cannot,icontains:credential
cannot-06,rewrite,PC-cannot,We cannot read two of the subscriptions without an access grant.,not-contains:cannot,icontains:access grant
cannot-07,rewrite,PC-cannot,The build cannot complete while the index is still rebuilding.,not-contains:cannot,icontains:index
cannot-08,preserve,PC-cannot,pdf.js cannot load a `blob:` URL.,icontains:cannot,
cannot-09,preserve,PC-cannot,A Basic SKU gateway cannot host a WAF policy of its own.,icontains:cannot,
cannot-10,preserve,PC-cannot,The GC-pause step is not instrumented and cannot be closed with available telemetry.,icontains:cannot,
