__description,polarity,bullet,input,__expected1,__expected2
opposing-03,rewrite,PC-opposing-phrases,"It is not just a cache, it is the source of truth for routing.",not-contains:not just a cache,icontains:routing
opposing-04,rewrite,PC-opposing-phrases,The finding is not a bug but four independent implementations of the same idea.,not-contains:not a bug but,icontains:four
opposing-05,rewrite,PC-opposing-phrases,"This is not gaming detection, it is real-time discrepancy flagging.",not-contains:not gaming detection,icontains:discrepanc
opposing-06,rewrite,PC-opposing-phrases,"Not only does the gate authenticate nobody, it also logs nothing.",not-contains:Not only,icontains:log
opposing-07,preserve,PC-opposing-phrases,"The tool authenticates the string, not the person holding it.",icontains:string,
opposing-08,preserve,PC-opposing-phrases,Severity is the technical rating. Priority is what the team agreed to work it at.,icontains:Priority,
opposing-09,preserve,PC-opposing-phrases,These are observations from the inventory. None has been tested against a running system.,icontains:inventory,
landing-01,rewrite,PC-landing-beats,"Four of the thirty-three teams adopted the runbook this year. DevX owns it and reviews it each quarter, and the review takes about two hours. The other teams were never asked. That is the department standard.",not-contains:That is the department standard,icontains:thirty-three
landing-02,rewrite,PC-landing-beats,"The sweeper runs every fifteen minutes and reclaims blobs older than seven days. It skips anything with an active lease, which is how in-flight uploads survive a sweep. No flag sets it.",not-contains:No flag sets it,icontains:fifteen
landing-03,rewrite,PC-landing-beats,"We measured the gate on all thirteen repositories and found eight with a pipeline step. Five have none, and three of those five carry the highest CVE counts in the estate. Five is the number that matters.",not-contains:Five is the number,icontains:thirteen
landing-04,rewrite,PC-landing-beats,The index landed on the ninth and the row cap shipped a week later. Query time on the worst tenant fell from sixteen seconds to under one. Nobody noticed.,not-contains:Nobody noticed,icontains:sixteen
landing-05,rewrite,PC-landing-beats,"Two reviewers reached opposite conclusions on the support date and the document asserts neither. Settling it takes one lookup against the vendor policy page, and it changes the urgency for six services. One lookup.",not-contains:One lookup.,icontains:six services
landing-06,preserve,PC-landing-beats,The runner is a thirty-line binary that execs the sync script and exists only to own a TCC identity. Rebuilding it voids both domain grants and macOS prompts again on the next run. Do not re-sign it.,icontains:re-sign,icontains:TCC
landing-07,preserve,PC-landing-beats,"The scan covered 193 pages and flagged 69 at three or more em-dashes. Those 69 hold 7,946 sentences and 3,337 of them carry a deterministic hit. That is 42 percent.","icontains:3,337","icontains:7,946"
landing-08,preserve,PC-landing-beats,"Both grants are keyed to the binary path and its code hash. A rebuild voids them and the next run prompts again, which only works with a user logged in. Never re-sign it.",icontains:re-sign,icontains:code hash
landing-09,preserve,PC-landing-beats,"The bootstrap creates the roles and the grants on all four tiers using identical commands. Only the input values differ, and this page records them per tier alongside the expected query output.",icontains:four tiers,
census-01,rewrite,PC-subject-census,"The scheduler drops a job after three retries. It writes no record when it does. They then reappear in the next poll, and it never reconciles them.",icontains:three retries,icontains:poll
census-02,rewrite,PC-subject-census,The sweeper reclaims stale blobs each quarter-hour. This is why the storage bill fell. That also explains the drop in restore requests. It has held since June.,icontains:June,
census-03,rewrite,PC-subject-census,Chasing the leak took four days. Reading the dumps took two more. Filing the tickets took an afternoon. Closing them is still outstanding.,icontains:four days,
census-04,rewrite,PC-subject-census,The gateway fronts both listeners. It carries the policy. It routes by path. It terminates TLS at 1.2.,icontains:1.2,
census-05,rewrite,PC-subject-census,The report was generated on Monday. It was reviewed on Tuesday. It was filed on Wednesday. Nothing was acted on.,icontains:Monday,
census-06,rewrite,PC-subject-census,Migration of the schema is underway. Conversion of the indexes follows. Validation of the row counts is last. All three are behind.,icontains:row counts,
census-07,preserve,PC-subject-census,"The scheduler drops a job after three retries and writes no record. The next poll cannot tell a dropped job from a new one, so the queue depth climbs overnight.",icontains:queue depth,
census-08,preserve,PC-subject-census,Alex read the memory dumps on the eleventh. Kevin filed IS-1227 the same afternoon. The Synapse team picked it up on the fourteenth.,icontains:IS-1227,
census-09,preserve,PC-subject-census,"The gateway terminates TLS at 1.2 and routes by path. Its WAF policy runs in Detection mode, so nothing it matches is blocked.",icontains:Detection,
synonym-01,rewrite,PC-synonym-cycling,"The platform now carries eleven services. The ecosystem grew by four this quarter, and the stack absorbed the rest from the retired cluster. Nobody has audited the environment since March.",icontains:eleven,icontains:March
synonym-02,rewrite,PC-synonym-cycling,"The pipeline runs on every push. The workflow also fires on tags, and the automation covers nightly builds. The job has not been touched since June.",icontains:June,
synonym-03,rewrite,PC-synonym-cycling,"The runbook lists nine steps. The guide covers rotation, and the document also describes rollback. Four of the playbook's steps are stale.",icontains:nine steps,
synonym-04,rewrite,PC-synonym-cycling,The agent writes the manifest. The assistant validates it. The bot then applies it. The tool logs each phase.,icontains:manifest,
synonym-05,rewrite,PC-synonym-cycling,"The datastore holds six tables. The repository indexes three of them, and the warehouse mirrors the rest. Two of the database's tables have no owner.",icontains:six tables,
synonym-06,rewrite,PC-synonym-cycling,"The cutover moves four tables. The migration runs Friday, and the transition completes Sunday. The switchover has no rollback.",icontains:four tables,
synonym-07,preserve,PC-synonym-cycling,"The platform carries eleven services. The platform has not been audited since March, and four of the eleven have no named owner.",icontains:eleven,
synonym-08,preserve,PC-synonym-cycling,Keycloak groups its clients into realms. Each realm carries its own token lifetime.,icontains:realms,
synonym-09,preserve,PC-synonym-cycling,The sweeper reclaims blobs. The scanner reads digests. The two run on different schedules and share no state.,icontains:digests,
synneg-01,rewrite,PC-synthetic-negation,DevX was invited to no planning meeting.,not-contains:no planning meeting,icontains:DevX
synneg-02,rewrite,PC-synthetic-negation,The batch ran on no worker in the pool.,not-contains:no worker,icontains:batch
synneg-03,rewrite,PC-synthetic-negation,We heard back from no reviewer before the deadline.,not-contains:no reviewer,icontains:deadline
synneg-04,rewrite,PC-synthetic-negation,Not one ticket is blocked at the plausibility gate.,not-contains:Not one ticket,icontains:gate
synneg-05,rewrite,PC-synthetic-negation,The finding appears in no tracker we searched.,not-contains:in no tracker,icontains:tracker
synneg-06,rewrite,PC-synthetic-negation,The change shipped with no test and to no staging tier.,not-contains:to no staging,icontains:test
synneg-07,preserve,PC-synthetic-negation,"The rebuild makes no difference to the grant, because the hash is unchanged.",icontains:hash,
synneg-08,preserve,PC-synthetic-negation,The revert had no effect on the dropped column.,icontains:dropped column,
synneg-09,preserve,PC-synthetic-negation,Changing the TTL makes no sense while the blob stamp already fixes the target.,icontains:blob stamp,
fragment-01,rewrite,PC-verbless-fragments,"Two plugins, one lab.","not-contains:Two plugins, one lab",
fragment-02,rewrite,PC-verbless-fragments,"One config, every machine.","not-contains:One config, every machine",
fragment-03,rewrite,PC-verbless-fragments,"Same engine, new surface.","not-contains:Same engine, new surface",
fragment-04,rewrite,PC-verbless-fragments,"Nominal coverage only, and dangerous as written.",not-contains:Nominal coverage only,
fragment-05,rewrite,PC-verbless-fragments,"Time-boxed, not a priority question.","not-contains:Time-boxed, not",
fragment-06,rewrite,PC-verbless-fragments,"Internal audience, public endpoint.","not-contains:Internal audience, public endpoint",
fragment-07,preserve,PC-verbless-fragments,"Two plugins share one lab, and the lab is rebuilt nightly.",icontains:nightly,
fragment-08,preserve,PC-verbless-fragments,"The tool is internal-only by audience, and its dev host is reachable from the internet.",icontains:internet,
fragment-09,preserve,PC-verbless-fragments,The coverage is nominal. Both tickets ask for a policy to be created and neither names a mode.,icontains:mode,
warmth-01,rewrite,PC-warmth-that-acts,We really hope this helps and we are always here if you need anything at all. The index finished at 03:10.,not-contains:always here,icontains:03:10
warmth-02,rewrite,PC-warmth-that-acts,"Thanks again for your patience and understanding throughout this process, it means a lot to the team. The cutover is Friday.",not-contains:means a lot,icontains:Friday
warmth-03,rewrite,PC-warmth-that-acts,Wishing you a great rest of your week. The stage secret expires on the fourteenth.,not-contains:great rest of your week,icontains:fourteenth
warmth-04,rewrite,PC-warmth-that-acts,"No pressure at all on this one, whenever you get a chance is completely fine. The freeze starts Thursday.",not-contains:No pressure at all,icontains:Thursday
warmth-05,rewrite,PC-warmth-that-acts,Hope you are doing well. The restore has never been tested on any service.,not-contains:Hope you are doing well,icontains:restore
warmth-06,rewrite,PC-warmth-that-acts,"Feel free to reach out with any questions whatsoever, big or small. The rotation runs at six.",not-contains:big or small,icontains:six
warmth-07,preserve,PC-warmth-that-acts,"We are holding the release until you confirm the index finished. Ping us either way, because the rotation changes at six and the next person has no context.",icontains:six,
warmth-08,preserve,PC-warmth-that-acts,"Take the time you need on the review. The freeze does not start until Thursday, so there is room.",icontains:Thursday,
warmth-09,preserve,PC-warmth-that-acts,"This is your call, not ours. We will implement whichever target you pick and the config diff is two lines either way.",icontains:two lines,
